名字,类型,教程,百度,夸克,迅雷,移动,蓝奏云【??里输??里的提取码，可以直接下单本txt】,uc,联系方式,日期,查询编号！,备注
"01影视音乐短剧100项
4K剧下饭5项
23影视4项
91毒舌电影
Girigiri（爱动漫）2项
heibai弹幕4项
KW3项
MicoMico2项
Mi动漫2项
omofun2项
YIYI影视2项
【电视版】极影视界TV2项
【电视版】清流影视TV2项
【电视版】紫金草视频TV端2项
一起刷2项
云云视频2项
享趣视频2项
全民电视直播2项
剧岛2项
动漫共和国2项
华数TV2项
卡音6项
咕噜咕噜2项
咕噜映画2项
咸鱼视频2项
哔哩哔哩（bilibili）2项
哪吒视频2项
四叶草2项
囧次元4项
壳儿影视2项
壹影视2项
夜猫影视2项
大师兄影视
大鱼视频（紫树视频）2项
天天静听2项
奇奇视频2项
小柚子
小柿子2项
小羊4K2项
小豆视界3项
布布影视2项
幕悦时光2项
影视仓4项
影视猫 Plus（布蕾4K）2项
心动视界2项
快映4K
星影视频2项
星空追剧2项
极光影院2项
极光视界3项
橘喵4K2项
橘汁3项
次元城动画2项
毒舌电影1项
火车太顺2项
爱壹帆2项
爱影视（爱电影）2项
爱看剧场2项
爱看影视2项
牛牛视频3项
特狗APP
瓜子影视2项
电影天堂2项
电影猎手1项
番喜视频2项
短剧汪2项
稀饭动漫2项
紫金草视频2项
繁花影视2项
聆听音乐2项
腾讯视频4项
花小猪影视3项
若惜追剧2项
蒙太奇（4K草莓熊）2项
蓝鹰2项
豆丁视频2项
豚豚剧2项
资源猫2项
追剧达人2项
追影匣（幕启星河）2项
追忆影视3项
追番达人4项
速搜视频4项
金牌影院4项
闪映剧场2项
随心影视2项
随看影视2项
零度影视（MINO 4K）2项
顾我追剧3项
魔方4K2项
鲨鱼剧场（蓝鲸视频）3项
麻花视频2项
Audio-mack（音乐下载器）Ver.6.45.1 高级版 去广告.apk43.45 MB
IPTV電視直播 Ver.5.1.6 禁止广告初始化 去更新.apk29.62 MB
儿歌点点 Ver.4.5.8 会员版 去广告.apk66.52 MB
泰圈 Ver.1.5.7.1 免广告领会员 去除广告 去除更新 去除公告 去除获取剪切板数据.apk42.58 MB
爱奇艺PAD Ver.15.9.0 去广告 更新 精简布局.apk111.56 MB
美剧侠 Ver.2.3.2 去广告 去更新.apk43.63 MB
萌宝绘本故事 Ver.7.1.0.2 会员版 去更新 去除友盟.apk50.20 MB
蛇果视频（原西柚、剧星视频）Ver.7.3.2 会员版 去更新 去广告.apk37.24 MB
阳光彼岸 Ver.3.0.2 禁止广告初始化 去更新 去除公告 其他布局调整.apk",??,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,16728,??软件
"02漫画小说听书
55项
MyComic（漫画软件）
4项
ovo漫画
2项
Souman（搜漫）
2项
七猫免费小说
4项
听中国听书
4项
唔语听书
2项
喜马拉雅
5项
喜马拉雅极速版
4项
喵呜漫画
2项
喵趣（轻漫岛）
2项
小书包
2项
小梨听书
2项
拷貝漫畫（拷贝漫画）
3项
掌阅
3项
昊昊享听（昊昊听书）
2项
星so（你搜）
3项
星漫辰（零界绘系列）
2项
星绘漫
3项
有听故事圈
2项
栗子漫画
2项
桔子阅读器
2项
橙子阅读
2项
海鱼小说
2项
淘小说
2项
漫拾光
2项
漫狐X
2项
漫趣漫画
2项
爱听书
2项
爱看书免费小说
2项
猫番阅读
2项
番??系列全家桶
2项
皮皮喵
2项
知音漫客
2项
繁花漫画
2项
胡桃爱读书
2项
芝士漫画
2项
萌喵漫画
2项
落叶楼阅读
2项
西西小屋
2项
Cimoc（漫画阅读器）Ver.1.7.239 禁止广告初始化 去更新 去除公告 去除获取隐私权限.apk
23.57 MB
七猫免费听书 Ver.1.9 会员版 去更新 去广告 去除友盟.apk
51.40 MB
东南小说 Ver.1.5.20 禁止广告初始化 去更新 去除盗版检测 去除友盟.apk
29.79 MB
云听（FM电台）Ver.7.2.3 会员版(需登录) 去广告 去搜索热词.apk
147.84 MB
云漫 Ver.2.5.4 纯净版 去更新 去除友盟.apk
13.65 MB
声阅 Ver.2.4 免广告获得奖励.apk
31.73 MB
布咕阅读 Ver.2.7.4 免广告获得奖励 去更新.apk
58.23 MB
我的听书 Ver.2.6.0 禁止广告初始化 去更新 完美修复.apk
26.24 MB
有声小说 Ver.1.1.1 去广告版.apk
40.52 MB
神漫堂 Ver.1.1.0 去广告版.apk
16.12 MB
起点读书 Ver.7.9.424 免广告获得奖励 本地会员 去更新 自动签到 去除预载书籍 精简布局 修复部分机型闪退.apk
70.55 MB
连尚读书 Ver.4.2.0 会员版 禁止广告初始化 其他布局调整.apk
56.98 MB
追书大全 Ver.5.0.2 禁止广告初始化 去除下载及听书限制 去除友盟 其他布局调整.apk
20.72 MB
追书神器 Ver.4.85.91 会员版 免广告获得奖励 去更新 去除福利Tab 去广告.apk
57.53 MB
阅读（内置书源）Ver.4005 禁止广告初始化 去更新 去除友盟 去除其他校验.apk
23.58 MB
静读天下 Ver.9.4 去广告版.apk","??,软件监控",??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/459b13cbc269,,,,,WX:hecbof     qq群:344182238,2026/4/9,16729,??软件
03实用软件,,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/77d03b153602,,,,,WX:hecbof     qq群:344182238,2026/4/9,16730,??软件
"04电脑软件
OFGB Ver.0.3 一键清理 Win 系统全部广告 享受超纯净2项
史上最牛 PR、AE、PS、LR、C4D 插件大合集
百度网盘 5月下载器网速100MB 无限制不限速2项
196款实用工具集 解决微软痛点 系统修复 电脑应用 良心工具包.rar443.96 MB
360清理Pro 独立提取版 v1.0.0.1081.zip10.55 MB
EdrawMax图形图表设计 万兴亿图 思维导图 Ver.14.0.0.1184 高级版.7z305.61 MB
Photoshop CS6 64位 免激活 精简版.zip210.43 MB
Wallpaper.Engine壁纸 Ver.2.4.55 上千动态壁纸.zip808.11 MB
WPS2019专业增强版 -v11.8.2.12195-永久授权版.zip310.98 MB
WPS 2023 Ver.12.8.2.17149 免激活专业增强版.zip316.50 MB
WPS 2023 Ver.12.8.2.18205 免激活专业增强版.zip316.93 MB
WPS 2023 绿化精简版 内置VBa.rar212.78 MB
XMind 2024 思维导图制作 Ver.24.04.05171 x64 一键安装永久激活版.zip164.03 MB
【电脑版】黑神话 悟空（35项修改器）.rar1.59 MB
万兴亿图图示EdrawMax_Pro Ver.13.5.0.11610高级版.zip340.77 MB
傲梅分区助手 Ver.10.4.1 高级版.zip231.84 MB
录屏软件 ZD Soft Screen Recorder v11.7.3 多语便携版.zip11.94 MB
微信聊天记录导出- MemoTrace 留痕 2.0.6.rar144.88 MB
班迪录屏 Ver.6.2.32078 会员版.zip36.85 MB
电脑虚拟机 永久免费 支持多个虚拟机系统.zip227.27 MB
百度网盘 进程包不限速下载20+每秒.zip166.87 MB
福PDF Ver.25138 直装专业版.zip448.29 MB
雷电模拟器9(64) v9.0.68.3 去广告绿色版.zip485.91 MB
鲁大师精简版（单机文件版）Ver.6.1024.4050.809.zip","??,04电脑软件",??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/39d09586286f,,,,,WX:hecbof     qq群:344182238,2026/4/9,16731,??软件
"05Play商店·国际版软件
100项
AI Anywhere（虚拟助理聊天机器人）Ver.0.1.4 高级版.apk
54.84 MB
AI Morph Ver.1.10.4 高级版(1).apk
14.43 MB
AI Note（AI 转录笔记助手 - AI 驱动的笔记，提升学习水平）Ver.1.1.5 高级版.apk
30.73 MB
All Documents Reader（多合一Office文档阅读器）Ver.2.7.32 高级版.apk
82.56 MB
AmpereFlow（通过速度计、健康检查和常亮显示进行精确的电池监控）Ver.1.4.1 高级版.apk
5.58 MB
AmpereFlow（通过速度计、健康检查和常亮显示进行精确的电池监控）Ver.1.4.2 高级版.apk
5.61 MB
AndroPods Ver.1.5.26 专业版.apk
10.72 MB
AppDash（使用漂亮而现代的 UI 轻松清理和组织您的应用程序）Ver.1.99 高级版.apk
7.88 MB
AppDash（标记和整理应用）Ver.1.90 高级版.apk
5.41 MB
Ask AI（聊天机器人和智能助手，现在由 DeepSeek API 提供支持）Ver.3.1.0 高级版.apk
75.31 MB
Auto Text（自动化 WhatsApp 和短信，支持定时、自动回复和批量发送）Ver.5.6.8 高级版.apk
19.28 MB
AVG Cleaner（清理工具）Ver.25.08.0 高级版.apk
33.86 MB
Beat.ly（AI艺术视频模板，Al复合视频制作器，带音乐的照片视频编辑器）Ver.2.47.10967 高级版.apk
118.84 MB
Chatbot AI（AI 聊天机器人：通过搜索、网页浏览、生成器等寻求深度指导）Ver.2.7.0 高级版.apk
51.76 MB
ChatBot Ver.1.4.5 高级版.apk
9.91 MB
ChatBox AI（基于Gemini与Claude的中文版人工智能聊天机器人与写作助手，强大的AI聊天于你触手可及）Ver.1.52.9 高级版.apk
31.64 MB
ChatOn Ver.1.49.432-480 高级版.apk
39.81 MB
Chat Smith Ver.3.9.13 高级版.apk
76.06 MB
Chat Smith（一體化AI聊天機器人Chat Smith：圖像生成器、數學解決方案、寫作助手）Ver.3.9.23 高级版.apk
50.98 MB
CreArt（Ai图片生成）Ver.2.5.2 高级版.apk
21.33 MB
Creative 桌面 Ver.8.6 高级版.apk
27.45 MB
DeepAsk（您的人工智能助手，由先进的人工智能技术提供支持，提供智能见解）Ver.20250508 高级版.apk
52.17 MB
Disciplined（每日习惯跟踪器：管理目标、建立例程、保持纪律）Ver.1.0.15 高级版.apk
30.56 MB
Document Viewer（文档阅读器）Ver.2.1.11 高级版.apk
46.74 MB
Elevate（一款大脑训练工具，旨在提高玩家的记忆力、注意力等能力）Ver.5.186.0 高级版.apk
73.08 MB
Elevate（一款大脑训练工具，旨在提高玩家的记忆力、注意力等能力）Ver.5.188.0 高级版.apk
98.00 MB
eRecorder - Screen Recorder（录屏应用）Ver.2.9.92 高级版.apk
39.02 MB
EWA（外语学习）Ver.10.37.3 高级版.apk
108.76 MB
Filmora（万兴喵影）Ver.14.2.20 会员版.apk
98.92 MB
Flux AI Ver.1.1.0 高级版.apk
46.45 MB
Flux AI（创建逼真的照片、自拍、即时照片）Ver.1.0.7 高级版.apk
49.42 MB
Folderly（终极学术伴侣应用程序）Ver.2.0.1 高级版.apk
22.51 MB
Genie Ai Ver.7.8.1 高级版.apk
61.92 MB
Genius Scan（PDF扫描仪）Ver.7.27.0 高级版.apk
21.98 MB
GoFasting（间歇性断食）Ver.1.02.98.1018 高级版.apk
72.25 MB
Go Translate（屏幕翻译）Ver.v_1.6.190124 高级版.apk
24.13 MB
GPS 连接器 Ver.1.2.3.0 汉化版.apk
10.04 MB
Hearing Clear（独特的助听器应用程序）Ver.2.7.7 高级版.apk
29.31 MB
HiEdu Calc Pro（计算器）Ver.1.6.6 高级版.apk
8.09 MB
HiPER Calc Pro（优秀的科学计算器与符号代数，积分，衍生物）Ver.11.1.1 高级版.apk
6.51 MB
InShot-视频编辑 Ver.2.070.1461 会员版.apk
65.14 MB
iTubeGo（视频下载器）Ver.2.4.1 高级版.apk
7.77 MB
Learna AI（与 AI 导师一起说、学习和练习英语。发音语法培训）Ver.1.2.2 高级版.apk
44.70 MB
Magic AI（使用 Dalle-Magic 将创意转化为艺术：您的终极 AI 照片编辑器）Ver.1.0.20 高级版.apk
29.29 MB
Medativo（简单冥想计时器）Ver.1.3.7 高级版.apk
20.09 MB
Mindz（思维导图）Ver.1.4.13 高级版.apk
7.15 MB
MiX 桌面 Ver.5.4 高级版.apk
23.75 MB
MobiPDF（PDF编辑器和扫描仪）Ver.11.1.266646 高级版.apk
75.13 MB
Multi App（多开应用）Ver.1.5.1 高级版.apk
7.66 MB
Nebo（学生笔记）Ver.6.4.6 高级版.apk
75.82 MB
OneShade （自定义通知和快速设置！自定义您的手机并享受使用它）Ver.18.5.11 高级版.apk
13.32 MB
PicCollage拼贴趣 Ver.7.3.10 会员版.apk
37.67 MB
PickU（照片编辑器和照片剪切。带有趋势拼贴和过滤器的背景编辑器）Ver.3.9.28 高级版.apk
38.25 MB
Pigments（颜料为您的口袋带来美丽的调色板）Ver.3.58 高级版.apk
4.47 MB
Power Shade（个性化的自定义通知）Ver.18.5.11 高级版.apk
12.96 MB
Programming Hub（免费学习HTML、Python、Javascript、C、C++、C#、Java以及更多编程语言）Ver.5.2.33 高级版.apk
26.53 MB
Qibla Finder（有用的 Qibla Finder 应用程序和 Tasbeeh 计数器功能）Ver.1.5.8.1 高级版.apk
18.49 MB
qlango（学习45种语言）Ver.2.4.5 高级版.apk
20.79 MB
QuickEdit（文本编辑器）Ver.1.11.7 高级版.apk
8.49 MB
Quick桌面 Ver.11.7 高级版.zip
27.50 MB
Reflectly（对于每天所发生的事的感受，个人日志和日记应用，处理好消极的想法、提高积极性并了解幸福的奥秘）Ver.4.12.0 高级版.apk
27.90 MB
Remini（创建 AI 照片，提高和恢复模糊、旧或损坏照片的质量）Ver.3.7.956.202511194 高级版.apk
94.58 MB
SD Maid SE（垃圾清理）Ver.1.2.4-rc0 高级版.apk
5.06 MB
SHARE Ver.1.5.5 高级版.apk
13.82 MB
Simple Scanner（全能的PDF文档扫描App）Ver.4.9.7 高级版.apk
76.35 MB
SnapClip（使用 AI 视频制作器瞬间将照片制作成动画视频 - 无需任何技能）Ver.1.0.0-25012650 高级版.apk
69.03 MB
Soul浏览器 Ver.1.4.64 高级版.apk
16.42 MB
SoundHound ∞（音乐搜索识别和播放器）Ver.10.4.8 高级版.apk
50.77 MB
Summarify（使用人工智能工具轻松总结多种语言的任何视频）Ver.1.3.2 高级版.apk
17.99 MB
Supershift（排班表、排期助手）Ver.2024.7 高级版.apk
26.40 MB
Themepack（壁纸和小部件）Ver.1.0.0.2034 高级版.apk
48.24 MB
Themify（百变图标，主题，丽壁纸，颜色小部件）Ver.1.26.10 汉化高级版.apk
24.48 MB
Timemark（时间戳相机，GPS地图相机，marki，相机地图，GPS相机，时间戳）Ver.4.0.0.0 高级版.apk
72.56 MB
Torrent Search Revolution V2（搜索和下载来自多个来源的BT种子磁力链接）Ver.2.2.3 高级版(1).apk
75.23 MB
TuneIn Radio Pro（在TuneIn上收听您最爱的AM·FM电台、网路电台、播客、节目以及很多免费的内容）Ver.37.9 高级版.apk
56.92 MB
U-Dictionary（翻译有道词典国际版）Ver.6.6.8 会员版.apk
49.21 MB
Vidmix（AI图像生成器）Ver.2.35.487 会员版.zip
110.47 MB
Virbo（万兴播爆·Ai虚拟人视频生成器）Ver.1.9.23 高级版.apk
66.77 MB
WebCode（用于html，css和javascript的web ide）Ver.6.1.0 高级版.apk
19.98 MB
Wizard AI（AI 图像生成器）Ver.1.0.9 高级版.apk
44.59 MB
XCast - 投屏大师 Ver.2.4.3 高级版.apk
15.93 MB
X（Twitter）Ver.10.55.1 高级版.apk
112.06 MB
zTranslate（翻译视频字幕）Ver.1.87 高级版.apk
52.91 MB
 Dynamic View（直接在 Android 上体验 Dynamic View AZ 多任务处理功能）Ver.2.0.2 高级版.apk
18.59 MB
【需科学】Genesia AI（与虚拟女友聊天）Ver.3.0.2 高级版.apk
66.22 MB
健身運動 Ver.3.12 高级版.apk
43.02 MB
国际象棋 Ver.2.2.18 高级版.apk
25.01 MB
多邻国（语言学习）Ver.6.30.4 高级版.apk
74.21 MB
字典 Ver.29.1.0 高级版.apk
26.98 MB
定格日记 Ver.1.1.3.1 高级版.apk
12.95 MB
微笔记 Ver.6.09 高级版.zip
15.46 MB
日历 Ver.1.0.7 高级版.apk
12.99 MB
有声翻译机 Ver.2.7.4 高级版.apk
48.93 MB
流舟文件 Ver.1.7.14.1 高级版.apk
39.13 MB
电费开支 Ver.6.0.6 高级版.apk
7.99 MB
视频下载器 Ver.2.3.1 高级版.apk
16.52 MB
视频压缩 Ver.1.2.70 高级版.apk
12.80 MB
超级录屏 Ver.5.1.0.3 会员版.apk
31.55 MB
静音相机 Ver.8.15.0 高级版.apk
9.70 MB
骰子卷 SNS Ver.72.0 高级版.apk","??, 05Play商店·国际版软件 ",??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/9644b3362971,,,,,WX:hecbof     qq群:344182238,2026/4/9,16732,??软件
????软件合集迅雷20260327,"??,03实用软件",??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,,https://pan.xunlei.com/s/VOogX1Qf0F8TMOGYOKlpwQu6A1?pwd=nq2k#,,,,WX:hecbof     qq群:344182238,2026/4/9,16733,??软件
作者合集目录1747+,,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1zfYdZnsqc98hsvmSxnTzyQ?pwd=sili#list/path=%2F,https://pan.quark.cn/s/16f1e88a0af2,https://pan.xunlei.com/s/VOnbrT5zgS21hO1dpQd1ht1pA1?pwd=fagz#,https://yun.139.com/shareweb/#/w/i/2tQE9wuop6R98,,https://drive.uc.cn/s/cc42b919768f4?public=1,WX:hecbof     qq群:344182238,2026/4/9,16734,??小说
百度网盘 5月下载器网速100MB 无限制不限速,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13402,??软件
91毒舌电影,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13403,??软件
爱电影（原：爱影视）,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/067ea04ddbe2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13404,??软件
